氏名,ふりがな,住所,緯度,経度,年齢,性別,前職業界コード,生年月日,電話番号,通勤手段,希望通勤時間,予想事業所受取時給,予想支払時給,希望勤務時間
井上 崇士,いのうえ たかし,兵庫県神戸市東灘区深江北町3-4-402,43.06466,141.34683,29歳,男,J,1993-09-07,070-2981-7576,電車,80,1950,2900,5
大井 由美子,おおい ゆみこ,東京都台東区上野3-3-4バンベール812,40.82423,140.74392,29歳,女,D,1993-06-28,070-9629-1685,自転車,20,1150,2700,5
西野 憲生,にしの のりお,宮城県仙台市太白区郡山2-2-16,39.70353,141.15246,12歳,男,Q,2010-11-08,070-2659-9433,自転車,10,1900,2650,2
大川 笙子,おおかわ しょうこ,埼玉県戸田市美女木1-5-10バンベール212,38.26873,140.87183,22歳,女,D,2000-12-02,050-0438-3738,電車,130,1900,2300,9
本間 勇一郎,ほんま ゆういちろう,石川県金沢市西念2-1-7マンション408,39.71830,140.10261,100歳,男,E,1923-02-03,090-8313-5954,バス,100,1400,2100,2
鎌田 芳昭,かまた よしあき,東京都港区芝3-2-21,38.24041,140.36389,65歳,男,A,1957-11-04,050-9851-5319,バス,30,1200,2650,2
杉井 賢治,すぎい けんじ,千葉県市川市曽谷3-3-1201,37.75123,140.46717,96歳,男,E,1926-11-12,070-3936-3241,電車,100,1600,3000,5
伊藤 香織,いとう かおり,千葉県柏市明原3-1-13クレステージ208,36.34150,140.44638,94歳,女,C,1929-02-15,080-6231-3702,電車,50,1650,2750,1
吉田 愛子,よしだ あいこ,東京都台東区台東1-4-17,36.56542,139.88368,6歳,女,B,2016-11-08,090-4049-2509,自転車,70,1150,2700,8
伊達 明彦,だて あきひこ,東京都台東区蔵前3-1-21,36.39197,139.06095,45歳,男,L,1977-06-12,050-8466-6039,自転車,80,1100,2150,9
正木 恒,まさき ひさし,神奈川県大和市中央2-1-3,35.85675,139.64814,86歳,男,T,1937-03-08,050-9347-8347,電車,170,1650,2600,8
高橋 利幸,たかはし としゆき,北海道札幌市南区藤野三条2-1-10,35.60495,140.12334,48歳,男,M,1975-04-15,070-9383-0301,自転車,100,1050,2800,1
飯田 真理子,いいだ まりこ,東京都渋谷区千駄ヶ谷1-4-504,35.68995,139.69194,45歳,女,C,1977-08-06,080-1273-9158,バス,170,1100,2300,3
柳沼 淳,やぎぬま じゅん,北海道千歳市幸町3-3-7,35.44720,139.6424,78歳,男,L,1945-01-09,050-7470-2390,徒歩,130,1050,2350,1
亀井 千絵,かめい ちえ,東京都中野区本町3-1-9パストラル710,37.90289,139.02373,73歳,女,S,1949-10-04,050-0256-4488,電車,90,1650,2600,1
白須 健太,しらす けんた,福岡県福岡市早良区西新3-2-18,36.69532,137.21144,33歳,男,E,1990-04-17,050-4838-0750,自転車,120,1200,2750,9
工藤 一平,くどう いっぺい,東京都渋谷区恵比寿1-2-3,36.59475,136.62555,27歳,男,A,1996-02-18,080-1372-5695,電車,80,1900,2400,2
前田 淳志,まえだ あつし,東京都新宿区下落合2-4-22,36.06576,136.22111,78歳,男,F,1944-06-06,090-3937-2727,電車,70,1500,2900,7
岩田 利昭,いわた としあき,東京都中野区南台2-3-14,35.66356,138.56841,44歳,男,L,1978-07-23,070-7867-3874,電車,10,1250,2550,8
菅野 紘子,かんの ひろこ,広島県福山市霞町1-5-14,36.6516,138.18122,71歳,女,T,1951-12-13,050-1679-5637,徒歩,120,1400,2550,6
半澤 雅信,はんざわ まさのぶ,千葉県市川市北国分2-2-14,35.39178,136.72272,87歳,男,M,1935-09-29,050-8349-2504,徒歩,100,1950,2600,5
新井 竜二,あらい りゅうじ,東京都墨田区江東橋4-2-4,34.97646,138.38317,5歳,男,S,2017-06-13,090-2211-0070,徒歩,60,1650,2850,7
中山 和規,なかやま かずのり,大阪府大阪市淀川区西三国1-2-15ステイツ503,35.18091,136.90642,4歳,男,R,2019-05-01,050-5159-0968,バス,110,1300,2250,9
田中 弥生,たなか やよい,千葉県松戸市古ケ崎3-3-6,34.73021,136.50856,0歳,女,E,2022-08-20,090-2776-4626,徒歩,80,1300,2950,2
